Date,Open,High,Low,Close,Adj Close,Volume
1983-01-01,1.299515,1.402244,1.235310,1.384266,0.579468,140013500
1983-02-01,1.384266,1.602564,1.345743,1.535791,0.642898,126059500
1983-03-01,1.551200,1.617973,1.504972,1.569177,0.656874,100267900
1983-04-01,1.569177,1.741248,1.553768,1.602564,0.673443,120627800
1983-05-01,1.602564,1.702724,1.507540,1.543495,0.648620,165994800
1983-06-01,1.543495,1.551200,1.335470,1.391971,0.584945,179910400
1983-07-01,1.391971,1.402244,1.276401,1.294379,0.543935,117999300
1983-08-01,1.294379,1.399675,1.147991,1.209628,0.510579,172502200
1983-09-01,1.209628,1.327765,1.191650,1.273833,0.537680,153743900
1983-10-01,1.273833,1.314924,1.232742,1.255856,0.530092,94997000
1983-11-01,1.253287,1.294379,0.970784,0.991330,0.420445,328899900
1983-12-01,0.991330,1.099195,0.991330,1.083785,0.459658,165191600
1984-01-01,1.083785,1.163400,1.027285,1.155695,0.493055,213089900
1984-02-01,1.155695,1.160832,0.993898,1.027285,0.438271,154366900
1984-03-01,1.027285,1.397107,1.019580,1.373993,0.586188,606111200
1984-04-01,1.368857,1.386834,1.214764,1.291811,0.554426,606247700
1984-05-01,1.299515,1.427926,1.253287,1.284106,0.551119,759778700
1984-06-01,1.317493,1.373993,0.950238,0.973352,0.417748,788412200
1984-07-01,0.968216,1.140286,0.929693,1.083785,0.467309,365287400
1984-08-01,1.088922,1.209628,1.088922,1.158263,0.499422,200887500
1984-09-01,1.158263,1.325197,1.147991,1.209628,0.521569,258442600
1984-10-01,1.199355,1.253287,1.101763,1.176241,0.509764,393478000
1984-11-01,1.176241,1.222469,1.155695,1.204491,0.522007,76331400
1984-12-01,1.204491,1.255856,1.163400,1.230173,0.533138,138022900
1985-01-01,1.232742,1.543495,1.217332,1.528086,0.665667,278144600
1985-02-01,1.528086,1.666769,1.502404,1.599996,0.696993,138957400
1985-03-01,1.599996,1.648792,1.512677,1.617973,0.704824,101635900
1985-04-01,1.607700,1.653928,1.564041,1.574314,0.688481,68276100
1985-05-01,1.571746,1.843976,1.528086,1.787475,0.781702,150288600
1985-06-01,1.787475,1.951841,1.769498,1.928727,0.846469,112845000
1985-07-01,1.928727,1.928727,1.756657,1.790044,0.785604,145932200
1985-08-01,1.818294,1.885067,1.795180,1.836271,0.805892,89706500
1985-09-01,1.836271,1.836271,1.682179,1.723270,0.756299,89652900
1985-10-01,1.712997,1.890204,1.702724,1.890204,0.832394,95790200
1985-11-01,1.890204,2.044297,1.874795,2.034024,0.895728,85467200
1985-12-01,2.028887,2.414119,1.982659,2.319095,1.021265,145284900
1986-01-01,2.319095,2.552802,2.306254,2.429528,1.073052,201632300
